   Pressure (mb)   Temperature(C)
   1.0230000e+03  -7.1000000e+00
   1.0150000e+03  -7.5000000e+00
   1.0000000e+03  -8.7000000e+00
   9.8600000e+02  -9.7000000e+00
   9.4750000e+02  -1.2600000e+01
   9.2500000e+02  -1.4300000e+01
   9.1030000e+02  -1.5500000e+01
   8.7400000e+02  -1.8500000e+01
   8.5000000e+02  -2.0500000e+01
   8.4500000e+02  -2.0900000e+01
   8.3900000e+02  -2.1200000e+01
   8.3300000e+02  -2.1500000e+01
   8.2000000e+02  -2.2100000e+01
   8.0900000e+02  -2.1700000e+01
   8.0500000e+02  -2.1800000e+01
   7.9100000e+02  -2.2100000e+01
   7.8000000e+02  -2.0500000e+01
   7.7240000e+02  -2.0500000e+01
   7.4130000e+02  -2.0700000e+01
   7.3800000e+02  -2.0700000e+01
   7.1130000e+02  -2.0300000e+01
   7.0000000e+02  -2.0100000e+01
   6.8100000e+02  -1.9100000e+01
   6.5530000e+02  -1.9500000e+01
   6.5500000e+02  -1.9500000e+01
   6.2870000e+02  -2.1300000e+01
   5.9600000e+02  -2.3700000e+01
   5.7870000e+02  -2.3700000e+01
   5.6000000e+02  -2.3700000e+01
   5.3220000e+02  -2.5100000e+01
   5.1000000e+02  -2.6300000e+01
   5.0000000e+02  -2.7100000e+01
   4.9300000e+02  -2.7700000e+01
   4.8100000e+02  -2.8900000e+01
   4.7800000e+02  -2.8900000e+01
   4.7300000e+02  -2.8900000e+01
   4.6870000e+02  -2.9400000e+01
   4.5000000e+02  -3.1900000e+01
   4.4890000e+02  -3.1900000e+01
   4.3900000e+02  -3.2300000e+01
   4.2100000e+02  -3.5100000e+01
   4.1600000e+02  -3.5900000e+01
   4.1400000e+02  -3.5900000e+01
   4.1000000e+02  -3.5700000e+01
   4.0900000e+02  -3.5900000e+01
   4.0000000e+02  -3.7100000e+01
   3.9800000e+02  -3.7300000e+01
   3.9500000e+02  -3.7500000e+01
   3.9000000e+02  -3.7700000e+01
   3.6010000e+02  -4.1700000e+01
   3.5900000e+02  -4.1900000e+01
   3.3300000e+02  -4.2700000e+01
   3.1450000e+02  -4.4700000e+01
   3.1300000e+02  -4.4800000e+01
   3.0000000e+02  -4.6300000e+01
   2.8700000e+02  -4.7500000e+01
   2.8690000e+02  -4.7500000e+01
   2.6000000e+02  -4.7500000e+01
   2.5000000e+02  -4.8300000e+01
   2.0800000e+02  -5.0100000e+01
   2.0750000e+02  -5.0000000e+01
   2.0400000e+02  -4.9500000e+01
   2.0000000e+02  -4.9900000e+01
   1.9200000e+02  -5.1700000e+01
   1.7600000e+02  -5.2900000e+01
   1.5000000e+02  -5.3100000e+01
   1.4300000e+02  -5.2700000e+01
   1.3580000e+02  -5.3500000e+01
   1.2400000e+02  -5.4900000e+01
   1.2000000e+02  -5.4100000e+01
   1.1230000e+02  -5.5000000e+01
   1.0500000e+02  -5.5900000e+01
   1.0000000e+02  -5.5100000e+01
   9.2700000e+01  -5.5900000e+01
   7.6500000e+01  -5.7800000e+01
   7.4600000e+01  -5.8100000e+01
   7.0000000e+01  -5.6500000e+01
   6.9500000e+01  -5.6400000e+01
   6.6200000e+01  -5.5700000e+01
   6.5300000e+01  -5.5500000e+01
   6.0100000e+01  -5.8300000e+01
   5.8800000e+01  -5.9100000e+01
   5.7100000e+01  -5.6900000e+01
   5.5600000e+01  -5.7500000e+01
   5.4600000e+01  -5.6900000e+01
   5.2400000e+01  -5.5500000e+01
   5.0000000e+01  -5.7300000e+01
